number,label
+618888888888,spam
+819487623831,not_spam
+919382477951,not_spam
+614734769047,not_spam
+817427813896,not_spam
+19522572893,not_spam
+16634970626,not_spam
+618888888888,spam
+17210609087,not_spam
+619999999999,spam
+810000000000,spam
+910501590624,not_spam
+810000000000,spam
+442024008069,not_spam
+611586745604,not_spam
+814278434477,not_spam
+918888888888,spam
+911231231231,spam
+818036720638,not_spam
+17264059356,not_spam
+619999999999,spam
+915562712724,not_spam
+448888888888,spam
+440597117926,not_spam
+811231231231,spam
+818888888888,spam
+810858675342,not_spam
+448888888888,spam
+810000000000,spam
+910000000000,spam
+16996366031,not_spam
+440128550140,not_spam
+616753415969,not_spam
+448153908267,not_spam
+17969570375,not_spam
+10601309962,not_spam
+810000000000,spam
+917778875597,not_spam
+818418688024,not_spam
+611231231231,spam
+817280125914,not_spam
+11644924609,not_spam
+16292861451,not_spam
+618220761979,not_spam
+19999999999,spam
+444561352704,not_spam
+910000000000,spam
+810000000000,spam
+615213329790,not_spam
+19999999999,spam
+818888888888,spam
+918888888888,spam
+910000000000,spam
+444714561723,not_spam
+443403231670,not_spam
+818894111484,not_spam
+618196667361,not_spam
+618888888888,spam
+19999999999,spam
+818414904742,not_spam
+440877886506,not_spam
+11496099741,not_spam
+919999999999,spam
+818888888888,spam
+442085388922,not_spam
+440000000000,spam
+449999999999,spam
+619999999999,spam
+812301386227,not_spam
+18670277750,not_spam
+610000000000,spam
+816378826397,not_spam
+812849194987,not_spam
+913988115818,not_spam
+814418051998,not_spam
+910470365794,not_spam
+440000000000,spam
+618888888888,spam
+444564933022,not_spam
+619999999999,spam
+449999999999,spam
+910000000000,spam
+811422692674,not_spam
+910228430302,not_spam
+11741932867,not_spam
+812072103535,not_spam
+619704283925,not_spam
+819879377128,not_spam
+610000000000,spam
+915591545825,not_spam
+448888888888,spam
+449999999999,spam
+441231231231,spam
+440000000000,spam
+17001914920,not_spam
+12598597456,not_spam
+443743642238,not_spam
+813198084578,not_spam
+19999999999,spam
+814932524963,not_spam
+810218340228,not_spam
+441231231231,spam
+18888888888,spam
+815761200788,not_spam
+610272133747,not_spam
+918888888888,spam
+611753186236,not_spam
+610000000000,spam
+910889931086,not_spam
+440000000000,spam
+445918387940,not_spam
+919829012188,not_spam
+919942316091,not_spam
+618888888888,spam
+448888888888,spam
+616349217401,not_spam
+618647500318,not_spam
+610000000000,spam
+911231231231,spam
+442696328633,not_spam
+10997450505,not_spam
+11231231231,spam
+819999999999,spam
+916192868256,not_spam
+619999999999,spam
+815190880270,not_spam
+10000000000,spam
+919056540952,not_spam
+445086584318,not_spam
+610000000000,spam
+10000000000,spam
+441989125169,not_spam
+615598046007,not_spam
+449307770267,not_spam
+440000000000,spam
+19585124977,not_spam
+610269341322,not_spam
+442351988576,not_spam
+445285233698,not_spam
+10000000000,spam
+10000000000,spam
+440805831566,not_spam
+613272753164,not_spam
+19999999999,spam
+815080311403,not_spam
+911728019061,not_spam
+919999999999,spam
+447052899138,not_spam
+440000000000,spam
+19999999999,spam
+610119782467,not_spam
+911231231231,spam
+11299162475,not_spam
+910000000000,spam
+11231231231,spam
+441231231231,spam
+16504954856,not_spam
+444687520383,not_spam
+819999999999,spam
+14396166766,not_spam
+19108582404,not_spam
+918888888888,spam
+619999999999,spam
+17194561345,not_spam
+819999999999,spam
+611730517044,not_spam
+916253483007,not_spam
+810805298005,not_spam
+10000000000,spam
+443423455749,not_spam
+15546766203,not_spam
+812627531344,not_spam
+818599633777,not_spam
+619732107283,not_spam
+814621214022,not_spam
+818888888888,spam
+448888888888,spam
+818913004688,not_spam
+619999999999,spam
+617531584889,not_spam
+910000000000,spam
+19999999999,spam
+611231231231,spam
+918888888888,spam
+817005256285,not_spam
+612647995085,not_spam
+813226143608,not_spam
+911231231231,spam
+18888888888,spam
+916933692633,not_spam
+19999999999,spam
+917957724316,not_spam
+10000000000,spam
+917096510509,not_spam
+616504350645,not_spam
+816367903397,not_spam
+613103421992,not_spam
+449999999999,spam
+918888888888,spam
+810241371634,not_spam
+910000000000,spam
+444426140817,not_spam
+810936989021,not_spam
+448922150896,not_spam
+448888888888,spam
+18888888888,spam
+10000000000,spam
+612287971604,not_spam
+811231231231,spam
+918888888888,spam
+11231231231,spam
+910000000000,spam
+18888888888,spam
+442750186896,not_spam
+11231231231,spam
+818888888888,spam
+610176391482,not_spam
+818888888888,spam
+917222252418,not_spam
+10000000000,spam
+918888888888,spam
+612459034823,not_spam
+612598783351,not_spam
+910957053686,not_spam
+441965208988,not_spam
+914799688521,not_spam
+616414553496,not_spam
+10000000000,spam
+910000000000,spam
+614718683651,not_spam
+440927197186,not_spam
+10573481258,not_spam
+919999999999,spam
+814169304373,not_spam
+14396896987,not_spam
+811878544324,not_spam
+14239827540,not_spam
+818888888888,spam
+913135480372,not_spam
+918888888888,spam
+919319791237,not_spam
+611231231231,spam
+911231231231,spam
+918872065247,not_spam
+448888888888,spam
+11565018732,not_spam
+11244514832,not_spam
+449326536851,not_spam
+818596871789,not_spam
+448888888888,spam
+610206334231,not_spam
+619999999999,spam
+16913399099,not_spam
+813357376808,not_spam
+610000000000,spam
+917608615173,not_spam
+17242256597,not_spam
+814237926388,not_spam
+914264494350,not_spam
+18537371236,not_spam
+819299069049,not_spam
+618888888888,spam
+448888888888,spam
+611231231231,spam
+911231231231,spam
+911231231231,spam
+610487728875,not_spam
+13261957970,not_spam
+610000000000,spam
+915092329778,not_spam
+810882921367,not_spam
+819999999999,spam
+818644479799,not_spam
+619999999999,spam
+615388431512,not_spam
+449999999999,spam
+818078634135,not_spam
+818888888888,spam
+13733260510,not_spam
+617943682774,not_spam
+15162276930,not_spam
+19999999999,spam
+10000000000,spam
+911231231231,spam
+446682015062,not_spam
+611060000422,not_spam
+613864030084,not_spam
+443330004350,not_spam
+443215936053,not_spam
+910000000000,spam
+612939319085,not_spam
+15138981296,not_spam
+618888888888,spam
+618888888888,spam
+446803920984,not_spam
+11231231231,spam
+440000000000,spam
+610000000000,spam
+819999999999,spam
+449999999999,spam
+18888888888,spam
+919999999999,spam
+11231231231,spam
+446150942557,not_spam
+918888888888,spam
+914353871539,not_spam
+918369889189,not_spam
+610000000000,spam
+612424517112,not_spam
+10000000000,spam
+816128517297,not_spam
+914883958251,not_spam
+18226294971,not_spam
+445508818069,not_spam
+17212046110,not_spam
+616501801191,not_spam
+819999999999,spam
+19999999999,spam
+812109901427,not_spam
+618605250767,not_spam
+910129973666,not_spam
+448002332500,not_spam
+615898272013,not_spam
+918760538239,not_spam
+15410168313,not_spam
+810000000000,spam
+10000000000,spam
+448888888888,spam
+441298376721,not_spam
+615659632882,not_spam
+614621745637,not_spam
+18888888888,spam
+615051994022,not_spam
+441231231231,spam
+819710484409,not_spam
+816998126926,not_spam
+610000000000,spam
+440000000000,spam
+815144590177,not_spam
+440000000000,spam
+446864483344,not_spam
+18848953878,not_spam
+819999999999,spam
+443513274346,not_spam
+441106445179,not_spam
+11546438892,not_spam
+916851961996,not_spam
+911231231231,spam
+915233412726,not_spam
+612082725570,not_spam
+18888888888,spam
+449999999999,spam
+14253304472,not_spam
+912415607083,not_spam
+447086532137,not_spam
+441231231231,spam
+616450163101,not_spam
+911231231231,spam
+919999999999,spam
+611231231231,spam
+913014081249,not_spam
+610000000000,spam
+611949171374,not_spam
+18206522830,not_spam
+613749755518,not_spam
+915585068612,not_spam
+19999999999,spam
+15951544377,not_spam
+818888888888,spam
+448712044133,not_spam
+610000000000,spam
+447265080640,not_spam
+611231231231,spam
+919270035185,not_spam
+18808852792,not_spam
+811231231231,spam
+440211669261,not_spam
+910000000000,spam
+612102670524,not_spam
+10000000000,spam
+810693637859,not_spam
+10000000000,spam
+448513691164,not_spam
+912882092670,not_spam
+818260336213,not_spam
+811231231231,spam
+612038551405,not_spam
+448840066890,not_spam
+910389553569,not_spam
+916778309372,not_spam
+443285971315,not_spam
+443597770102,not_spam
+917088450982,not_spam
+449999999999,spam
+619999999999,spam
